,reflection_BB,emission_BB,reflection_depth,emission_depth
3574,3229598.151204962,2153950.5667998516,74.0350546098592,49.37699378495953
3575,3227032.26144037,2155890.965144464,74.0350546098592,49.46077150965036
3576,3224468.8788246675,2157831.5636078827,74.0350546098592,49.544648639567235
3577,3221908.0004753955,2159772.3608479244,74.0350546098592,49.62862522972331
3578,3219349.6235138695,2161713.355522907,74.0350546098592,49.71270133509651
3579,3216793.7450651624,2163654.5462916405,74.0350546098592,49.79687701062937
3580,3214240.362258121,2165595.931813418,74.0350546098592,49.88115231122841
3581,3211689.472225341,2167537.510748057,74.0350546098592,49.96552729176534
3582,3209141.072103172,2169479.281755837,74.0350546098592,50.05000200707529
3583,3206595.159031708,2171421.243497573,74.0350546098592,50.13457651195859
3584,3204051.7301547783,2173363.3946345644,74.0350546098592,50.21925086117948
3585,3201510.782619954,2175305.733828614,74.0350546098592,50.3040251094663
3586,3198972.3135785274,2177248.2597420416,74.0350546098592,50.38889931151199
3587,3196436.320185525,2179190.971037669,74.0350546098592,50.4738735219733
3588,3193902.7995996806,2181133.8663788345,74.0350546098592,50.558947795471454
3589,3191371.748983443,2183076.944429387,74.0350546098592,50.644122186591666
3590,3188843.1655029776,2185020.203853687,74.0350546098592,50.72939674988301
3591,3186317.0463281376,2186963.643316606,74.0350546098592,50.81477153985867
3592,3183793.388632481,2188907.2614835487,74.0350546098592,50.90024661099599
3593,3181272.1895932616,2190851.0570204384,74.0350546098592,50.98582201773619
3594,3178753.4463914116,2192795.0285937074,74.0350546098592,51.07149781448413
3595,3176237.156211542,2194739.1748703257,74.0350546098592,51.15727405560896
3596,3173723.316241949,2196683.494517775,74.0350546098592,51.24315079544306
3597,3171211.9236745876,2198627.9862040826,74.0350546098592,51.32912808828325
3598,3168702.9757050877,2200572.64859779,74.0350546098592,51.41520598838951
3599,3166196.4695327347,2202517.480367988,74.0350546098592,51.50138454998603
3600,3163692.4023604607,2204462.4801842826,74.0350546098592,51.587663827260315
